Unnamed: 0,time,relative_time,force,smooth_force,derivative,stroke_number,force_peak,normalized_force,frame,displacement,velocity,modeled_force
5337,103.084,0.1479999999999961,0.2230806018493683,0.224162724482843,-0.017136695102717,23,29.70342687888045,0.217062834699016,25771,0.0012094398185565,0.0318952437222287,-0.09295346544939381
5338,103.088,0.152000000000001,0.1776790752224386,0.1782955411725601,-0.0047809183341994,23,29.70342687888045,0.1716613080720863,25772,0.0013087655087294,0.0349990604363951,-0.09858553251488324
5339,103.092,0.1559999999999917,0.1867593805478246,0.1916567130528629,0.0102497385869886,23,29.70342687888045,0.1807416133974723,25773,0.0012861538123248,0.0291280144040251,-0.09732524316228514
5340,103.096,0.1599999999999966,0.2412412125001401,0.2405744767944307,0.0103436636566423,23,29.70342687888045,0.2352234453497878,25774,0.0011567080541732,0.0170852277982117,-0.08986038714837569
5341,103.1,0.1640000000000014,0.2616718994822585,0.2629947877872398,0.0017184319081696,23,29.70342687888045,0.2556541323319062,25775,0.0012036161311996,0.0194558514611866,-0.09261543153827695
5342,103.104,0.1679999999999921,0.259401823150912,0.257084122840587,-0.0036802752644556,23,29.70342687888045,0.2533840560005597,25776,0.0011913876419633,0.0169315398691994,-0.09190276704892489
5343,103.108,0.171999999999997,0.2378360980031204,0.2390822587864128,-0.0041922330384831,23,29.70342687888045,0.2318183308527681,25777,0.0012248946747321,0.0173584723511094,-0.09384628879158341
5344,103.112,0.1760000000000019,0.226485716346388,0.2307507082416458,-0.0002156307937118,23,29.70342687888045,0.2204679491960357,25778,0.0010326509270356,0.0013456904869934,-0.08228995326441468
5345,103.116,0.1799999999999926,0.2355660216717739,0.2328461633167348,0.0012726185493912,23,29.70342687888045,0.2295482545214216,25779,0.0008240836045151,-0.0133940228068823,-0.06857842877027853
5346,103.12,0.1839999999999975,0.2389711361687936,0.2371561334143612,0.0020914864101741,23,29.70342687888045,0.2329533690184414,25780,0.0005991486107206,-0.0268129008631535,-0.05228777170578289
5347,103.124,0.1879999999999881,0.2537266323225458,0.2497209265350657,0.0037437739030947,23,29.70342687888045,0.2477088651721935,25781,0.0003781121380029,-0.037387949297797,-0.03460443054434345
5348,103.128,0.191999999999993,0.2582667849852387,0.2622671992195006,0.0012421921183766,23,29.70342687888045,0.2522490178348865,25782,0.0002061280275927,-0.0422615074482008,-0.019586430181243286
5349,103.132,0.1959999999999979,0.259401823150912,0.2585604661889453,-0.0024738011303135,23,29.70342687888045,0.2533840560005597,25783,-1.612309650461663e-05,-0.0489887470253212,0.0016093696294251503
5350,103.136,0.1999999999999886,0.2469164033285063,0.2493928502354306,-0.0014101989331091,23,29.70342687888045,0.240898636178154,25784,-0.0001954592577756,-0.0514078290012072,0.020313382733629565
